Q1_i,Q1_ii,Q1_iii,Q1_iv,Q1_i_score,Q1_ii_score,Q1_iii_score,Q1_iv_score,Total_Q1,Q2_i,Q2_ii,Q2_i_score,Q2_ii_score,Total_Q2,Q3_i,Q3_ii,Q3_i_score,Q3_ii_score,Total_Q3,Q4,Q4_score,Total_Q4,Q5_i,Q5_ii,Q5_iii,Q5_i_score,Q5_ii_score,Q5_iii_score,Total_Q5,Q6_i,Q6_ii,Q6_i_score,Q6_ii_score,Total_Q6,Q7,Q7_score,Total_Q7,Total_score,Percentage,RLD_level
වහිනවා,ගෙවල් වලට,කලකලබලයෙන්,රෙදි,1,0,1,1,3,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,පුරවැසියන් හොඳින් ඉගෙන ගෙන යහපත් වෙමු,1,0,1,දන්නෙ නෑ,0,0,ගහක්,ළිඳ,මල් පාත්තිය,1,1,1,3,අන්නාසි,දන්නෙ නෑ,1,0,1,අඟහරුවාදා,0,0,8,53.33,Average
වැස්ස,කූඩු වලට,වේගයෙන්,රෙදි,1,1,1,1,4,සහන්,පවනි,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෝ වෙමු,1,1,2,අටයි,1,1,ගසක්,ළිඳක්,මල් පාත්තිය,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සන්ධා,1,1,13,86.67,Normal
වැස්සක් එනවා,කූඩුවට,දුවගෙන,දන්නෙ නෑ,1,1,1,0,3,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳට ඉගෙන ගෙන යහපත් පුරවැසියෝ වෙමු,1,1,2,අටයි,1,1,අහස,පාත්තියක්,ළිඳ,0,0,0,0,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,10,66.67,Average
වැස්ස,කැදළි වලට,කලබලයෙන්,රෙදි,1,1,1,1,4,සහන්,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියෙක් වෙමු,1,1,2,දන්නෙ නෑ,0,0,දන්නෙ නෑ,දන්නෙ නෑ,පාත්තිය,0,0,1,1,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,10,66.67,Average
වහින වෙලාවට,කූඩු වලට,කලබලෙන්,රෙදි,1,1,1,1,4,සහන්,කසුන්,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ළිඳ,පාත්තිය,1,1,1,3,අන්නාසි,සපත්තුව,1,1,2,සඳුදා,1,1,13,86.67,Normal
දන්නෙ නෑ,කූඩුවට,කලබලෙන්,දන්නෙ නෑ,0,1,1,0,2,සහන්,දන්නෙ නෑ,0,0,0,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමි,1,1,2,අටයි,1,1,ගස,මල් පාත්තිය,ලින්ද,1,0,0,1,අන්නාසි,සපත්තු 2,1,1,2,සඳුදා,1,1,9,60.0,Average
වහිනවා,කූඩුවට,කලබලයෙන්,රෙදි,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,යහපත් ඉගෙන ගෙන හොඳින් පුරවැසියන්වෙමු,1,0,1,අටයි,1,1,ගස,ළිඳ,ගස,1,1,0,2,අන්නාසි,සපත්තු ජෝඩුව,1,1,2,සඳුදා,1,1,12,80.0,Normal
වැස්ස ගැන,කූඩු වලට,කලබලයෙන්,රෙදි,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනී බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,මල් පාත්ති,ළිඳ,1,0,0,1,අන්නාසි,ටීෂර්ට් 1,1,0,1,සඳුදා,1,1,11,73.33,Normal
වැස්සක්,කූඩුවට,කලබලයෙන්,වනා තිබූ පැදුරු,1,1,1,0,3,කසුන්,සහන්,1,1,2,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ළිඳ,මල් පඳුර,1,1,1,3,අන්නාසි,සපත්තු,1,1,2,සඳුදා,1,1,14,93.33,Normal
වැසි අවස්ථාවක්,කූඩු වලට,දුවගෙන,මිදුලේ වනා තිබූ රෙදි,1,1,1,1,4,කසුන්,පවනි,1,0,1,අම්මා රූපවාහිනිය බලනවා,හොඳින් ඉගෙන ගෙන යහපත් පුරවැසියන් වෙමු,1,1,2,අටයි,1,1,ගස,ළිඳ,මල් පඳුර,1,1,1,3,අන්නාසි ගෙඩිය,සපත්තු 2,1,1,2,දන්නෙ නෑ,0,0,13,86.67,Normal
