L1Q1,L1Q2,L1Q3,L1Q4,L1Q5,L1Q6,Total Marks,Shape 1,shape 2,shape 3,shape 4,Marks(Level 2),Level 3 Question,Marks (Level 3),Marks For Time,Total,Time,Target
3,3,2,1,2,1,15,3,6,6,4,9,"3, 4, 5, 6, 7, 8",18,0,42,160,2
3,3,2,3,2,1,18,4,6,6,4,12,"5, 6",6,0,36,160,1
3,3,2,3,3,2,12,6,6,6,6,6,"2, 4, 6, 7, 8, 9, 10",3,2,23,100,1
3,3,3,3,2,1,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,0,45,220,2
3,3,2,3,1,1,15,4,6,6,4,12,"2, 3, 4, 5, 6, 7, 8",15,0,42,160,2
3,3,2,3,2,3,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8, 10",15,0,42,190,2
3,2,2,3,2,1,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,0,45,170,2
1,3,2,3,4,1,12,4,5,6,4,9,"4, 5",6,0,27,180,1
1,3,2,3,2,4,12,4,6,6,4,12,"1, 2, 3, 4, 5, 6, 7, 8",12,0,36,185,1
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",12,2,44,120,2
3,3,2,3,3,1,15,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,0,42,160,2
3,3,2,3,2,2,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,95,2
1,3,2,3,2,1,15,4,6,6,6,9,"3, 4, 6, 7, 8, 10",12,0,36,170,1
3,2,4,3,1,1,9,4,6,6,4,12,"2, 3, 4, 5, 6, 7, 8",15,2,38,150,1
3,3,4,3,2,1,15,4,5,5,4,6,"4, 5, 6, 7",12,2,35,117,1
3,3,4,3,2,3,12,5,4,6,4,6,"3, 4, 5, 6, 7, 8",18,2,38,135,1
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,105,2
3,3,4,3,3,1,12,4,6,5,4,9,"3, 4, 5, 6, 7, 8",18,2,41,100,2
3,3,2,3,2,1,18,4,5,6,6,6,"3, 4, 7, 8",12,2,38,110,1
3,3,2,3,2,4,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,81,2
3,3,2,3,2,1,18,4,6,6,4,12,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10",6,2,38,102,1
1,3,2,3,4,2,9,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,41,125,2
1,3,3,3,2,1,12,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,44,80,2
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,90,2
3,3,2,3,2,1,18,4,6,6,4,12,"1, 3, 4, 7, 10",12,2,44,150,2
3,3,2,3,3,3,12,4,6,4,3,6,"2, 3, 4, 6, 9",3,0,21,155,1
3,3,2,3,2,1,18,4,6,6,4,12,"2, 3, 4, 5, 6, 7, 8, 9",12,2,44,135,2
3,3,1,3,1,1,12,4,6,6,4,12,"3, 4, 5, 6, 8",15,2,41,90,2
3,3,2,3,2,1,18,4,5,4,4,6,"4, 5, 6, 7, 8",15,2,41,130,2
3,3,2,4,2,2,12,4,6,6,6,9,"4, 5, 6, 7, 8, 9",12,2,35,135,1
3,3,2,3,2,1,18,4,5,5,4,6,"3, 4, 5, 6, 7, 8",18,2,44,120,2
3,3,3,3,4,4,9,4,4,6,4,9,"3, 4, 5, 6, 8, 9",12,2,32,90,1
3,2,2,3,2,1,15,4,6,6,4,12,"1, 3, 4, 5, 6, 7, 8, 9, 10",9,2,38,85,1
3,3,2,3,2,1,18,4,5,5,4,6,"1, 2, 3, 4, 5, 8, 9, 10",0,2,26,136,1
3,3,2,3,3,1,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,122,2
3,3,2,3,2,1,18,4,6,4,6,6,"2, 3, 4, 5, 6, 7, 8, 9",12,2,38,135,1
3,3,2,3,2,3,15,4,6,6,6,9,"3, 4, 5, 6, 7, 8",18,2,44,97,2
3,3,2,1,2,1,15,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,2,44,135,2
3,3,2,1,1,1,12,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,2,41,120,2
3,3,2,3,2,2,15,4,6,4,4,6,"3, 4, 5, 6, 7, 8",18,2,41,106,2
3,3,3,3,2,1,15,4,5,5,4,6,"3, 4, 5, 6, 7, 8",18,2,41,140,2
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,99,2
3,3,4,3,2,1,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,117,2
3,3,1,3,3,1,12,4,6,6,4,12,"3, 4, 5, 6, 7",15,2,41,100,2
3,3,2,3,4,1,15,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,2,44,103,2
3,3,2,3,2,3,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,120,2
3,3,2,3,2,4,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,93,2
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,87,2
3,3,2,3,1,1,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,94,2
